iter	Passed	Remaining
0	9	9031
1	18	9186
2	27	9198
3	38	9655
4	48	9607
5	58	9669
6	68	9713
7	77	9588
8	86	9534
9	96	9518
10	106	9557
11	117	9671
12	127	9661
13	137	9698
14	147	9714
15	158	9717
16	168	9734
17	178	9746
18	189	9782
19	199	9777
20	210	9829
21	222	9880
22	233	9939
23	245	9971
24	256	9998
25	267	10013
26	278	10039
27	289	10036
28	299	10018
29	310	10030
30	320	10007
31	330	10001
32	340	9987
33	351	9973
34	361	9955
35	371	9942
36	381	9940
37	392	9925
38	402	9919
39	413	9922
40	423	9910
41	434	9909
42	445	9911
43	460	10000
44	470	9988
45	480	9971
46	492	9977
47	502	9968
48	512	9943
49	522	9931
50	532	9907
51	543	9899
52	553	9886
53	564	9883
54	574	9878
55	585	9872
56	596	9863
57	607	9867
58	617	9853
59	628	9839
60	638	9821
61	648	9807
62	658	9787
63	668	9771
64	678	9761
65	687	9734
66	697	9719
67	708	9706
68	718	9695
69	729	9687
70	740	9684
71	751	9681
72	761	9674
73	772	9661
74	782	9651
75	792	9639
76	803	9628
77	814	9622
78	823	9605
79	834	9591
80	844	9585
81	855	9582
82	866	9568
83	876	9555
84	886	9547
85	897	9533
86	907	9522
87	917	9512
88	928	9503
89	939	9495
90	949	9479
91	959	9470
92	969	9460
93	980	9453
94	990	9437
95	1001	9430
96	1012	9423
97	1022	9410
98	1032	9394
99	1042	9381
100	1052	9371
101	1063	9360
102	1073	9349
103	1083	9339
104	1093	9324
105	1104	9314
106	1114	9303
107	1124	9290
108	1135	9280
109	1146	9272
110	1157	9267
111	1167	9257
112	1177	9244
113	1188	9234
114	1198	9221
115	1208	9210
116	1219	9200
117	1228	9183
118	1238	9171
119	1249	9165
120	1259	9151
121	1269	9137
122	1279	9124
123	1289	9112
124	1300	9100
125	1310	9088
126	1319	9071
127	1329	9057
128	1339	9043
129	1349	9031
130	1359	9020
131	1370	9009
132	1380	8999
133	1390	8989
134	1401	8978
135	1412	8971
136	1422	8962
137	1434	8957
138	1445	8951
139	1472	9042
140	1482	9032
141	1492	9020
142	1503	9009
143	1514	9000
144	1524	8989
145	1534	8977
146	1545	8966
147	1556	8958
148	1566	8947
149	1577	8937
150	1588	8930
151	1599	8921
152	1609	8910
153	1619	8898
154	1630	8889
155	1640	8878
156	1652	8872
157	1663	8863
158	1673	8854
159	1684	8842
160	1694	8832
161	1705	8822
162	1716	8813
163	1726	8802
164	1736	8789
165	1747	8779
166	1757	8765
167	1767	8754
168	1777	8741
169	1787	8728
170	1798	8719
171	1808	8704
172	1818	8694
173	1828	8682
174	1838	8668
175	1848	8655
176	1858	8642
177	1869	8631
178	1879	8620
179	1889	8607
180	1899	8594
181	1909	8580
182	1919	8568
183	1929	8554
184	1939	8543
185	1949	8530
186	1958	8516
187	1968	8502
188	1978	8490
189	1988	8479
190	1998	8465
191	2008	8452
192	2019	8442
193	2030	8435
194	2040	8425
195	2051	8413
196	2061	8403
197	2071	8392
198	2082	8380
199	2092	8370
200	2103	8360
201	2113	8348
202	2123	8335
203	2133	8324
204	2143	8312
205	2153	8300
206	2163	8288
207	2174	8278
208	2183	8264
209	2193	8251
210	2203	8241
211	2214	8232
212	2225	8223
213	2236	8213
214	2246	8203
215	2257	8192
216	2267	8181
217	2277	8170
218	2287	8158
219	2297	8147
220	2308	8136
221	2318	8124
222	2328	8112
223	2337	8099
224	2348	8088
225	2358	8078
226	2370	8070
227	2380	8060
228	2391	8051
229	2401	8040
230	2411	8029
231	2422	8018
232	2432	8008
233	2443	7999
234	2454	7988
235	2464	7977
236	2474	7967
237	2485	7957
238	2495	7946
239	2505	7934
240	2517	7927
241	2527	7918
242	2540	7914
243	2551	7905
244	2562	7895
245	2572	7883
246	2582	7873
247	2593	7864
248	2604	7854
249	2614	7844
250	2626	7836
251	2636	7826
252	2647	7815
253	2657	7805
254	2668	7794
255	2678	7783
256	2688	7772
257	2698	7761
258	2708	7747
259	2719	7738
260	2730	7730
261	2740	7720
262	2752	7713
263	2763	7704
264	2775	7696
265	2785	7687
266	2795	7674
267	2806	7664
268	2816	7654
269	2826	7643
270	2837	7631
271	2847	7619
272	2857	7608
273	2866	7595
274	2876	7584
275	2887	7573
276	2897	7561
277	2907	7550
278	2917	7539
279	2927	7527
280	2937	7517
281	2948	7506
282	2958	7496
283	2968	7485
284	2979	7475
285	2990	7464
286	3001	7455
287	3011	7446
288	3022	7437
289	3033	7427
290	3044	7417
291	3055	7409
292	3066	7399
293	3078	7392
